TAZID_900,parcel_acres,vacant_acres_19,vacant_acres_50,res_units_per_acre_19,res_units_per_acre_50,sf_units_per_acre_19,sf_units_per_acre_50,mf_units_per_acre_19,mf_units_per_acre_50,job_spaces_per_acre_19,job_spaces_per_acre_50,ttl_jobs_per_acre_19,ttl_jobs_per_acre_50,ind_jobs_per_acre_19,ind_jobs_per_acre_50,rtl_jobs_per_acre_19,rtl_jobs_per_acre_50,off_jobs_per_acre_19,off_jobs_per_acre_50,max_res_units_per_acre_19,max_res_units_per_acre_50,max_sf_units_per_acre_19,max_sf_units_per_acre_50,max_mf_units_per_acre_19,max_mf_units_per_acre_50,max_job_spaces_per_acre_19,max_job_spaces_per_acre_50,max_ttl_jobs_per_acre_19,max_ttl_jobs_per_acre_50,max_ind_jobs_per_acre_19,max_ind_jobs_per_acre_50,max_rtl_jobs_per_acre_19,max_rtl_jobs_per_acre_50,max_off_jobs_per_acre_19,max_off_jobs_per_acre_50,mean_res_units_per_acre_19,mean_res_units_per_acre_50,mean_sf_units_per_acre_19,mean_sf_units_per_acre_50,mean_mf_units_per_acre_19,mean_mf_units_per_acre_50,mean_job_spaces_per_acre_19,mean_job_spaces_per_acre_50,mean_ttl_jobs_per_acre_19,mean_ttl_jobs_per_acre_50,mean_ind_jobs_per_acre_19,mean_ind_jobs_per_acre_50,mean_rtl_jobs_per_acre_19,mean_rtl_jobs_per_acre_50,mean_off_jobs_per_acre_19,mean_off_jobs_per_acre_50
207,398.6200000000002,368,137,0.06,1.13,0.06,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,3.7,2.25,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.13,0.17,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,177.6,92,31,0.33,1.15,0.33,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.85,2.7,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,1.3,0.58,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,301.0000000000001,262,123,0.11,1.36,0.11,0.87,0.0,0.49,0.0,0.41,0.0,0.07,0.0,0.03,0.0,0.01,0.0,0.03,2.5,4.9,2.5,2.5,0.0,4.9,0.0,16.41,0.0,4.3,0.0,1.95,0.0,0.39,0.0,1.95,0.59,1.43,0.59,1.13,0.0,0.3,0.0,0.25,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.02
210,382.85,354,156,0.04,1.18,0.04,1.18,0.0,0.0,0.0,0.15,0.0,0.11,0.0,0.01,0.0,0.01,0.0,0.1,1.14,2.69,1.14,2.69,0.0,0.0,0.0,3.18,0.0,2.91,0.0,0.37,0.0,0.34,0.0,2.74,0.13,1.18,0.13,1.18,0.0,0.0,0.0,0.15,0.0,0.11,0.0,0.0,0.0,0.01,0.0,0.1
211,165.71,157,79,0.04,1.21,0.04,1.21,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,4.17,2.56,4.17,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,1.26,0.19,1.26,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,100.07000000000006,48,20,1.06,1.95,1.04,1.67,0.02,0.28,0.33,0.19,0.1,0.1,0.04,0.03,0.01,0.02,0.05,0.05,5.26,8.33,5.26,6.98,3.45,8.33,30.77,25.0,11.86,13.46,3.85,3.85,1.69,3.85,6.78,5.77,2.05,2.79,2.02,2.2,0.03,0.58,0.45,0.26,0.14,0.14,0.06,0.04,0.01,0.03,0.07,0.07
213,271.67,84,28,0.85,1.72,0.85,1.6,0.0,0.12,1.49,1.56,1.47,1.5,0.04,0.04,0.59,0.61,0.84,0.85,9.09,9.09,9.09,9.09,0.0,8.0,103.85,103.85,103.85,92.31,2.22,2.22,55.56,51.11,73.33,66.67,1.93,2.61,1.93,2.3,0.0,0.3,1.69,1.81,1.7,1.7,0.02,0.02,0.64,0.69,1.04,0.99
214,307.8200000000009,148,55,1.1,1.77,1.08,1.66,0.02,0.11,0.0,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,6.67,6.67,6.67,6.67,3.92,4.4,0.0,7.76,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.86,2.08,2.33,2.05,2.26,0.03,0.07,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,262.92,173,60,0.53,1.56,0.52,1.55,0.01,0.01,0.17,0.17,0.05,0.09,0.02,0.03,0.0,0.0,0.03,0.06,5.88,5.88,5.88,5.88,4.88,4.88,53.57,53.57,14.29,27.38,5.95,8.33,0.0,1.19,8.33,17.86,1.43,1.81,1.4,1.79,0.03,0.03,0.28,0.28,0.07,0.14,0.03,0.04,0.0,0.01,0.04,0.09
216,43.16999999999999,10,7,1.92,2.06,1.88,2.02,0.05,0.05,0.09,0.09,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.05,40.0,40.0,6.67,6.67,40.0,40.0,100.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,2.91,3.09,2.46,2.64,0.45,0.45,1.12,1.12,0.56,0.56,0.0,0.0,0.0,0.0,0.56,0.56
217,153.94000000000005,53,18,0.8,1.53,0.8,1.16,0.0,0.36,0.19,0.77,0.12,0.46,0.0,0.06,0.1,0.22,0.01,0.18,4.26,4.78,4.26,4.26,0.0,4.78,12.97,10.81,6.49,7.57,0.0,1.86,5.41,4.86,1.08,2.89,1.47,1.77,1.47,1.63,0.0,0.14,0.1,0.25,0.06,0.15,0.0,0.01,0.05,0.08,0.01,0.05
218,198.52999999999997,70,28,1.02,1.73,1.02,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,9.09,9.09,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,2.2,1.91,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,130.80999999999995,17,7,0.99,1.15,0.99,1.15,0.0,0.0,1.26,1.26,1.25,1.21,0.0,0.0,0.0,0.0,1.25,1.21,7.41,7.41,7.41,7.41,0.0,0.0,3.18,3.18,3.16,3.04,0.0,0.0,0.0,0.0,3.16,3.04,2.44,2.58,2.44,2.58,0.0,0.0,0.04,0.04,0.04,0.03,0.0,0.0,0.0,0.0,0.04,0.03
220,287.08999999999986,202,103,0.44,1.33,0.44,1.33,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.02,6.06,6.06,6.06,6.06,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,1.23,1.68,1.23,1.68,0.0,0.0,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.06
221,431.4799999999995,284,170,0.6,1.15,0.6,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45,6.45,6.45,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,1.73,1.51,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,307.75000000000006,220,92,0.24,1.3,0.24,1.25,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,12.12,8.7,8.7,0.0,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,2.17,0.89,1.91,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,95.47000000000001,40,40,1.03,1.04,1.03,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,9.09,9.09,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,1.95,1.95,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,479.34000000000157,175,150,1.32,1.44,1.32,1.44,0.0,0.0,0.16,0.16,0.28,0.25,0.0,0.0,0.02,0.02,0.26,0.24,8.7,8.7,8.7,8.7,0.0,0.0,5.11,5.11,9.22,8.42,0.07,0.07,0.57,0.29,8.86,8.06,2.79,2.84,2.79,2.84,0.0,0.0,0.01,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.01
225,142.5400000000001,64,56,0.2,0.29,0.2,0.29,0.0,0.0,3.47,4.37,3.0,3.56,0.98,1.34,1.19,1.13,0.83,1.09,2.7,2.7,2.7,2.7,0.0,0.0,61.18,61.18,58.82,60.59,29.18,38.36,38.24,38.82,18.82,20.0,0.58,0.69,0.58,0.69,0.0,0.0,2.53,3.3,2.19,2.7,0.68,1.0,0.91,0.87,0.6,0.83
226,284.7799999999996,144,54,0.81,1.65,0.81,1.65,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.02,6.45,6.45,6.45,6.45,0.0,0.0,5.88,5.88,4.9,4.9,0.0,0.0,0.0,0.0,4.9,4.9,2.03,2.23,2.03,2.23,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.02
