,parcel_id,parcel_id_REMM,county_id,zone_id,parcel_acres,land_value,max_far,max_dua,has_buildings,was_developed,was_redeveloped,developable,residential_units,job_spaces,building_sqft,non_residential_sqft,residential_sqft,unit_price_non_residential,res_price_per_sqft,is_sf,is_mf,is_industrial,is_retail,is_office,is_govt,is_mixeduse,is_other,year_built,building_count,households_count,non_res_value,res_value,total_value,job_spaces_added,res_units_added,acreage_dev,acreage_redev,acreage_dev_res,acreage_redev_res,acreage_dev_nonres,acreage_redev_nonres,res_units_added_dev,res_units_added_redev,value_added_dev,value_added_redev,value_added_dev_res,value_added_dev_nonres
134862,477530,477530,57,179,0.7370923,72880.0,0.0,2.713364393,1,0,1,1.0,2.0,0.0,4816.1610855,0.0,4816.1610855,0.0,73.47866229560368,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,353885.07396268257,426765.07396268257,0.0,1.0,,0.7370923,,0.7370923,,,,1.0,,255626.67334468255,,
134866,541306,541306,57,159,0.413260487,50500.0,0.0,4.839562613,1,0,1,1.0,2.0,0.0,4500.406697500001,0.0,4500.406697500001,0.0,63.410272321731526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,285372.0142470195,335872.0142470195,0.0,1.0,,0.413260487,,0.413260487,,,,1.0,,161425.56695485947,,
134886,516025,516025,57,271,4.275571092,115250.0,0.0,2.806642608,1,0,1,1.0,11.0,0.0,27936.58152,0.0,27936.58152,0.0,61.654921101185806,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,1722427.7294524456,1837677.7294524456,0.0,10.0,,4.275571092,,4.275571092,,,,10.0,,1713587.7294528875,,
134923,459703,459703,57,281,0.294876576,29061.0,0.0,6.78249873,1,0,1,1.0,2.0,0.0,3211.20591,0.0,3211.20591,0.0,67.7455985042912,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,217545.06629346704,246606.06629346704,0.0,1.0,,0.294876576,,0.294876576,,,,1.0,,130010.71251496705,,
134936,460702,460702,57,301,0.391854395,31865.0,0.0,17.86377822,1,0,1,1.0,7.0,0.0,12801.883065,0.0,12801.883065,0.0,57.489440984434694,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,735973.1009549516,767838.1009549516,0.0,6.0,,0.391854395,,0.391854395,,,,6.0,,680038.1009587515,,
138960,534041,534041,57,184,0.422740661,53363.0,0.0,4.7310329630000005,1,0,1,1.0,2.0,0.0,3682.916634,0.0,3682.916634,0.0,72.94668673566399,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,268656.56597396405,322019.56597396405,0.0,1.0,,0.422740661,,0.422740661,,,,1.0,,169262.41034516407,,
139058,482879,482879,57,146,1.546713487,76000.0,0.0,2.586128609,1,0,1,1.0,4.0,0.0,10106.225925,0.0,10106.225925,0.0,68.99073771039032,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,697235.9820336219,773235.9820336219,0.0,3.0,,1.546713487,,1.546713487,,,,3.0,,585737.5418510919,,
139160,497483,497483,57,210,0.261135384,24504.0,0.0,7.658862486,1,0,1,1.0,2.0,0.0,3412.517205,0.0,3412.517205,0.0,65.51262508326043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,223562.96024134077,248066.96024134077,0.0,1.0,,0.261135384,,0.261135384,,,,1.0,,118662.92879872074,,
139268,509635,509635,57,341,0.218397556,22000.0,0.0,13.73641747,1,0,1,1.0,3.0,0.0,4756.6987655,0.0,4756.6987655,0.0,61.40278189131788,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,292074.53682069754,314074.53682069754,0.0,2.0,,0.218397556,,0.218397556,,,,2.0,,219314.53681709754,,
139340,527170,527170,57,361,0.301610247,49248.0,0.0,6.631074431,1,0,1,1.0,2.0,0.0,3941.4427140000003,0.0,3941.4427140000003,0.0,69.09998822615562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,272353.64513146685,321601.64513146685,0.0,1.0,,0.301610247,,0.301610247,,,,1.0,,272353.64513146685,,
139461,522839,522839,57,190,0.252055823,43000.0,0.0,7.934750235,1,0,1,1.0,2.0,0.0,4391.820656000001,0.0,4391.820656000001,0.0,68.77227381607605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,302035.4927055308,345035.4927055308,0.0,1.0,,0.252055823,,0.252055823,,,,1.0,,200398.77756579078,,
